,Timestamp,Machine,Temperature,Pressure,PartLength,PartResistance
1,2022-03-08,1,303,100,50.43338553,5.981771119
2,2022-03-08 00:00:05,1,303,100,48.6299602,5.879972485
3,2022-03-08 00:00:10,1,303,100,50.17734885,6.299916426
4,2022-03-08 00:00:15,1,303,100,49.46214662,5.833437733
5,2022-03-08 00:00:20,1,303,100,49.72672381,5.884946471
6,2022-03-08 00:00:25,1,303,100,49.58001923,6.039209887
7,2022-03-08 00:00:30,1,303,100,48.60729964,6.503966025
8,2022-03-08 00:00:35,1,303,100,47.28077893,6.726143346
9,2022-03-08 00:00:40,1,303,100,48.83680153,6.239603821
10,2022-03-08 00:00:45,1,303,100,47.94562951,5.194522267
11,2022-03-08 00:00:50,1,303,100,50.81780398,6.364358602
12,2022-03-08 00:00:55,1,303,100,49.99236138,5.509106184
13,2022-03-08 00:01:00,1,303,100,49.76258527,6.185607078
14,2022-03-08 00:01:05,1,303,100,49.059159,5.940883883
15,2022-03-08 00:01:10,1,303,100,51.3416385,5.896988527
16,2022-03-08 00:01:15,1,303,100,50.11929576,4.92787581
17,2022-03-08 00:01:20,1,303,100,49.21338513,5.775093258
18,2022-03-08 00:01:25,1,303,100,50.43022783,6.078793747
19,2022-03-08 00:01:30,1,303,100,50.06820719,5.282714506
20,2022-03-08 00:01:35,1,303,100,48.74475319,5.940423632
21,2022-03-08 00:01:40,1,303,100,48.02282115,6.152233419
22,2022-03-08 00:01:45,1,303,100,49.20957091,5.555203741
23,2022-03-08 00:01:50,1,303,100,49.06916662,6.346073654
24,2022-03-08 00:01:55,1,303,100,50.38992049,6.506157286
25,2022-03-08 00:02:00,1,303,100,50.5064011,6.053459861
26,2022-03-08 00:02:05,1,303,100,50.46503687,5.820719473
27,2022-03-08 00:02:10,1,303,100,50.32490648,5.667627508
28,2022-03-08 00:02:15,1,303,100,49.44898932,5.447692616
29,2022-03-08 00:02:20,1,303,100,49.28284478,6.397340657
30,2022-03-08 00:02:25,1,303,100,49.39247741,5.831228607
31,2022-03-08 00:02:30,1,303,100,50.10856149,5.9205069
